M,N,D
93700,400,27.05
93800,400,21.55
93900,400,28.3
94000,400,30.05
94100,400,25.2
94200,400,27.8
94300,400,33.6
94400,400,26.8
94500,400,21.25
94600,400,24.8
94700,400,22.5
94800,400,22.7
94900,400,26.9
95000,400,26.3
95100,400,28.55
95200,400,27.25
95300,400,25.55
95400,400,28.9
95500,400,23.55
95600,400,26.8
95700,400,26
95800,400,23.2
95900,400,29.35
96000,400,18.8
96100,400,17.1
96200,400,18.85
96300,400,25.95
96400,400,20.4
96500,400,16.55
96600,400,19.5
96700,400,23.6
96800,400,22.9
96900,400,19.4
97000,400,25.8
97100,400,17.1
97200,400,22.4
97300,400,20.7
97400,400,23.3
97500,400,29.8
97600,400,21.3
97700,400,25.65
97800,400,21.75
97900,400,27.55
98000,400,26.3
98100,400,28.8
98200,400,24.55
98300,400,17.35
98400,400,24.55
98500,400,13.6
98600,400,24.1
98700,400,25.45
98800,400,19.45
98900,400,21.5
99000,400,30.8
99100,400,19.85
99200,400,29.7
99300,400,18.8
99400,400,17.05
99500,400,24.55
99600,400,21.9
99700,400,21
99800,400,22.75
99900,400,23.75
100000,400,20.4
